date,cellvalue,n_cells,pct_cells
2012-12-15,13,7,6.771135616173341e-4
2012-12-15,15,1143,0.1105629715612304
2012-12-15,17,3,2.901915264074289e-4
2012-12-15,21,5037,0.4872315728380731
2012-12-15,27,3,2.901915264074289e-4
2012-12-15,NA,395,0.03820855097697814
2013-01-15,3,242,0.023408783130199264
2013-01-15,7,145,0.014025923776359063
2013-01-15,11,2222,0.21493519055910235
2013-01-15,15,2738,0.2648481331011801
2013-01-15,21,4898,0.4737860321145289
2013-01-15,27,2,1.934610176049526e-4
2013-01-15,NA,91,0.008802476301025344
2013-02-15,3,903,0.0873476494486361
2013-02-15,11,1332,0.12884503772489844
2013-02-15,13,12,0.0011607661056297156
2013-02-15,15,1815,0.1755658734764945
2013-02-15,17,2,1.934610176049526e-4
2013-02-15,21,5339,0.516444186496421
2013-02-15,27,3,2.901915264074289e-4
2013-02-15,NA,932,0.09015283420390792
2013-03-15,3,274,0.026504159411878506
2013-03-15,7,10,9.67305088024763e-4
2013-03-15,11,779,0.07535306635712904
2013-03-15,13,2,1.934610176049526e-4
2013-03-15,15,2494,0.2412458889533759
2013-03-15,17,1,9.67305088024763e-5
2013-03-15,21,5534,0.5353066357129038
2013-03-15,27,1,9.67305088024763e-5
2013-03-15,NA,1243,0.12023602244147805
2013-04-15,3,63,0.006094022054556007
2013-04-15,7,128,0.012381505126716966
2013-04-15,11,732,0.07080673244341265
2013-04-15,15,2131,0.206132714258077
2013-04-15,21,6783,0.6561230412071968
2013-04-15,NA,501,0.048461984910040626
2013-05-15,3,146,0.01412265428516154
2013-05-15,7,2355,0.2278003482298317
2013-05-15,11,1678,0.16231379377055524
2013-05-15,13,6,5.803830528148578e-4
2013-05-15,14,3,2.901915264074289e-4
2013-05-15,15,862,0.08338169858773457
2013-05-15,17,2,1.934610176049526e-4
2013-05-15,21,4800,0.4643064422518862
2013-05-15,27,5,4.836525440123815e-4
2013-05-15,NA,481,0.0465273747339911
2013-06-15,3,374,0.03617721029212614
2013-06-15,7,4436,0.4290965370477849
2013-06-15,11,529,0.05117043915650996
2013-06-15,13,3,2.901915264074289e-4
2013-06-15,14,71,0.006867866124975817
2013-06-15,15,116,0.01122073902108725
2013-06-15,17,2,1.934610176049526e-4
2013-06-15,21,2222,0.21493519055910235
2013-06-15,27,3,2.901915264074289e-4
2013-06-15,NA,2582,0.2497581737279938
2013-07-15,3,118,0.011414200038692203
