date,cellvalue,n_cells,pct_cells
2020-02-10,17,167,0.003239573229873909
2020-02-10,20,121,0.002347235693501455
2020-02-10,21,6585,0.1277400581959263
2020-02-10,23,1,1.9398642095053345e-5
2020-02-10,27,1,1.9398642095053345e-5
2020-02-10,NA,17233,0.3342967992240543
2020-02-18,3,10162,0.1971290009699321
2020-02-18,5,11,2.133850630455868e-4
2020-02-18,7,48,9.311348205625606e-4
2020-02-18,9,73,0.0014161008729388943
2020-02-18,11,13502,0.2619204655674103
2020-02-18,13,83,0.0016100872938894278
2020-02-18,15,2999,0.05817652764306499
2020-02-18,17,48,9.311348205625606e-4
2020-02-18,20,27,5.237633365664403e-4
2020-02-18,21,4560,0.08845780795344325
2020-02-18,23,9,1.745877788554801e-4
2020-02-18,NA,20028,0.3885160038797284
2020-02-26,3,18580,0.3604267701260912
2020-02-26,5,108,0.0020950533462657612
2020-02-26,7,20,3.879728419010669e-4
2020-02-26,9,106,0.0020562560620756547
2020-02-26,11,17735,0.3440349175557711
2020-02-26,13,600,0.011639185257032008
2020-02-26,15,4895,0.09495635305528613
2020-02-26,17,74,0.0014354995150339476
2020-02-26,20,27,5.237633365664403e-4
2020-02-26,21,4536,0.08799224054316197
2020-02-26,23,3,5.819592628516004e-5
2020-02-26,27,7,0.00013579049466537341
2020-02-26,NA,4859,0.09425800193986421
2020-03-05,3,14501,0.28129970902036855
2020-03-05,5,74,0.0014354995150339476
2020-03-05,7,2,3.879728419010669e-5
2020-03-05,9,12,2.3278370514064016e-4
2020-03-05,11,11058,0.2145101842870999
2020-03-05,13,560,0.010863239573229874
2020-03-05,15,3384,0.06564500484966053
2020-03-05,17,51,9.893307468477207e-4
2020-03-05,20,26,5.04364694471387e-4
2020-03-05,21,5504,0.10677012609117362
2020-03-05,23,12,2.3278370514064016e-4
2020-03-05,27,8,1.5518913676042676e-4
2020-03-05,NA,16358,0.31732298739088266
2020-03-13,3,11585,0.224733268671193
2020-03-13,5,44,8.535402521823472e-4
2020-03-13,7,1,1.9398642095053345e-5
2020-03-13,8,1,1.9398642095053345e-5
2020-03-13,9,819,0.01588748787584869
2020-03-13,11,12642,0.2452376333656644
2020-03-13,13,194,0.003763336566440349
2020-03-13,15,2844,0.055169738118331715
2020-03-13,17,463,0.0089815712900097
2020-03-13,20,10,1.9398642095053346e-4
2020-03-13,21,6878,0.1334238603297769
2020-03-13,23,5,9.699321047526673e-5
2020-03-13,27,4,7.759456838021338e-5
2020-03-13,NA,16060,0.31154219204655675
2020-03-21,3,15696,0.3044810863239573
2020-03-21,5,34,6.595538312318137e-4
2020-03-21,7,7,0.00013579049466537341
2020-03-21,8,3,5.819592628516004e-5
2020-03-21,9,1141,0.022133850630455868
2020-03-21,11,9868,0.19142580019398642
2020-03-21,13,263,0.00510184287099903
2020-03-21,15,6604,0.1281086323957323
2020-03-21,17,84,0.001629485935984481
2020-03-21,20,101,0.001959262851600388
2020-03-21,21,6003,0.11645004849660524
2020-03-21,23,19,3.6857419980601357e-4
2020-03-21,27,1,1.9398642095053345e-5
2020-03-21,NA,11726,0.22746847720659555
2020-04-06,3,2575,0.04995150339476237
2020-04-06,5,11,2.133850630455868e-4
2020-04-06,7,43,8.341416100872939e-4
2020-04-06,9,4,7.759456838021338e-5
2020-04-06,11,5507,0.10682832201745877
2020-04-06,13,161,0.0031231813773035886
2020-04-06,15,15092,0.2927643064985451
2020-04-06,17,19,3.6857419980601357e-4
2020-04-06,20,55,0.001066925315227934
2020-04-06,21,7512,0.14572259941804075
2020-04-06,23,7,0.00013579049466537341
2020-04-06,27,8,1.5518913676042676e-4
2020-04-06,NA,20556,0.3987584869059166
2020-04-14,3,3124,0.060601357904946654
2020-04-14,5,1,1.9398642095053345e-5
2020-04-14,7,17,3.297769156159069e-4
2020-04-14,11,11668,0.22634335596508245
2020-04-14,13,120,0.0023278370514064014
2020-04-14,15,23286,0.4517167798254122
2020-04-14,17,13,2.521823472356935e-4
2020-04-14,20,35,6.789524733268671e-4
2020-04-14,21,13245,0.25693501454898154
2020-04-14,23,10,1.9398642095053346e-4
2020-04-14,27,31,6.013579049466537e-4
2020-04-14,NA,0,0
2020-04-22,3,3378,0.0655286129970902
2020-04-22,5,5,9.699321047526673e-5
2020-04-22,7,44,8.535402521823472e-4
2020-04-22,11,10520,0.2040737148399612
2020-04-22,13,80,0.0015518913676042677
2020-04-22,15,15994,0.3102618816682832
2020-04-22,17,12,2.3278370514064016e-4
2020-04-22,20,69,0.001338506304558681
2020-04-22,21,11778,0.2284772065955383
2020-04-22,23,15,2.909796314258002e-4
2020-04-22,27,26,5.04364694471387e-4
2020-04-22,NA,9629,0.18678952473326868
2020-04-30,3,4885,0.0947623666343356
2020-04-30,5,25,4.8496605237633366e-4
2020-04-30,7,1130,0.021920465567410282
2020-04-30,11,9937,0.1927643064985451
2020-04-30,13,35,6.789524733268671e-4
2020-04-30,14,33,6.401551891367604e-4
2020-04-30,15,2891,0.05608147429679922
2020-04-30,17,9,1.745877788554801e-4
2020-04-30,20,44,8.535402521823472e-4
2020-04-30,21,10304,0.19988360814742967
2020-04-30,23,7,0.00013579049466537341
2020-04-30,27,1,1.9398642095053345e-5
2020-04-30,NA,22249,0.4316003879728419
